,Commenter_Name,DateTime,Comment
0,Anowarul Islam,2022-10-12 08:59:20,আওয়ামী লীগ ভোট চোর আওয়ামী পতন চাই
1,Kazi Sohag,2022-10-12 09:00:50,ঢাকা কুমিল্লা থেকেও গেছে
2,মঈন হক,2022-10-12 09:03:50,এইডা বলে লাখো মানুষ
3,EDUCARE JOB CARNIVAL ,2022-10-12 09:05:47,জ্বলে জ্বলে
4,KHOKON TOFAL UDDIN,2022-10-12 09:07:15,এগিয়ে জান সফল হবে ইনশাআল্লাহ
5,raj rubel,2022-10-12 09:07:32,আরে আজ পলোগ্রাউন্ডে বৃষ্টি হচ্ছে না কেন
6,Lion Mark,2022-10-12 09:08:06,বিএনপি এগিয়ে যাবে সকল প্রতিকূলতা উপেক্ষা করে
7,Md যেমন বাবা তেমন ছেলে বেবেছে ছিল,2022-10-12 09:08:44,বি এম পির এত লোক দেখলে তো আওয়ামী লীগ সরকার ও তার দলের কাউয়া কাদের মতো আর যত পাগল তারা সব তো আরো পাগল হয়ে যাবে
8,Md Hasan,2022-10-12 09:09:35,শুষ্ঠ হয়েছে নির্বাচন চেয়ে ছিল জনগণ ভোট দিয়েছে প্রশাসন হাহাহা
9,Lion Mark,2022-10-12 09:10:01,পুলিশ জনগণের বিরুদ্ধে যেতে পারে না গেলে তারাও দেশদ্রোহী হয়ে যাবে
10,Afiluddin Club,2022-10-12 09:12:18,আওয়ামীলীগকেমায়েরেচুদারসময়
11,True Seeker,2022-10-12 09:13:36,জালিমের ক্ষমতা চিরস্থায়ী নয় ইতিহাস সাক্ষী জালিমের পরাজিতা সুনিশ্চিত ভারত থেকে বলছি যদি তোমাদের সরকার জুলুম করে সাধারণ জনতার উপর তাহলে সে জালিম হবে এবং তার ক্ষমতা চিরস্থায়ী হবে না ইনশাআল্লাহ
12,True Seeker,2022-10-12 09:13:43,আমি ভারত থেকে বলছি যারা জনগণের জন্য কাজ করে আমি তাদের পক্ষে কথা বলে যাব ভারত থেকে বাংলাদেশের মানুষের জন্য রইল ভালোবাসা
13,Badrul alam,2022-10-12 09:16:57,
14,Humayon Kabir,2022-10-12 09:17:27,বি এন পি অবৈধ দল চোরের দল খুনী দল তাই জনগন জানে তাই সারা মাট খালি
15,Humayon Kabir,2022-10-12 09:17:54,বি এন পি অবৈধ দলের দালাল সার্কাস বিনোদন পাটি
16,Humayon Kabir,2022-10-12 09:18:20,সারা মাট খালি বি এন পি জনগন নাই
17,আমার প্রিয় বাংলাদেশ,2022-10-12 09:19:58,সবাই শান্তি শৃঙ্খলা বজায় রেখে আন্দোলন করেন কারণ আপনাদের সমাবেশের জন্য জাতে সাধারণ মানুষের ক্ষয় ক্ষতি না হয়
18,Our Democracy,2022-10-12 09:20:13,যেখানেই বাঁধা আসবে সেখানেই প্রতিরোধ করতে হবে জনগণের বিজয় হবেই হবে ইনশাআল্লাহ
19,Mon Pakhi,2022-10-12 09:20:34,এই বানচত ইউটিউবার সকালের খবর দেখাছ কেন এখন কার খবর দেখা
20,Sahabuddin Ahmed,2022-10-12 09:22:48,
21,MD Habib Reza,2022-10-12 09:23:41,সৈরাচার অবৈধ দখল দার নির্লজ্জ বেহায়া হাসিনা সরকারের পতন অনিবার্য
22,MD MANIK SHEIKH TANVIR,2022-10-12 09:24:22,লাঠি ছাড়া বিক্লব নাই বি এন পির
23,Noor Mohammad,2022-10-12 09:28:13,বাঁশে লাঠি তৈরি কর খুনি হাসিনা কে বিদাই কর
24,md ridoykhan,2022-10-12 09:29:46,আলহামদুলিল্লাহ বিএমপি আবার আসবে
25,Mohammad Osama,2022-10-12 09:35:43,লাভ ইউ বিএনপি বিএনপি জিন্দাবাদ সমাবেশ সফল হোক
26,Jahangir Alam apna k onek do no bad.,2022-10-12 09:39:03,আরে সাংবাদিক ভাই আপনি বলছেন লাখ মানুষের সমাগম হবে কিন্তু গত রাতে বি এন পি নেতা চট্টগ্রামের ডাঃ সাহাদত হুসেন বলেছেন ২০১২ সালে চট্টগ্রামের সমাবেসে জনসমাগম হয়েছিল ১৬ লাখ আর এখন ১২ই অক্টোবরের সমাবেশে জনসমাগম হবে ৩৬ লাখ
27,Shafikul Islam,2022-10-12 09:39:53,
28,Md Zahid Hossain Rubel,2022-10-12 09:40:35,খুনি খালেদার আস্তানা ভেঙে দাও গুড়িয়ে দাও
29,Md Zahid Hossain Rubel,2022-10-12 09:40:51,খালেদা জিয়ার দুই গুন গাছ কাটা আর মানুষ খুন
30,Md Zahid Hossain Rubel,2022-10-12 09:41:01,ভ্রু কাটা কমলা আর করিস না ঝামেলা
31,Md Zahid Hossain Rubel,2022-10-12 09:41:19,মানুষ পায় সোনার খনি আমরা পেয়েছি চোরের খনি
32,Md Zahid Hossain Rubel,2022-10-12 09:41:49,বাংলাদেশে কত চোর দেখুন ভিডিও সহ দেখুন
33,Md Zahid Hossain Rubel,2022-10-12 09:42:22,চোরের অনুসারী বিশ্ব চোর
34,Md Zahid Hossain Rubel,2022-10-12 09:42:35,বিধবা নারীর পরক্রিয়া প্রেম
35,Md Akash Islam,2022-10-12 09:43:42,বিএনপি দের অস্তিত্ব বাংলাদেশ থেকে মুছে দিতে হবে কেননা তাদের অস্তিত্ব আগেও ছিল না আর এখনো থাকবে না
36,NAYEEM SHORTS,2022-10-12 09:44:31,
37,নুরুল হুদা খান,2022-10-12 09:44:42,এরচেয়ে বেশি জনতা হয় ব্যারিসটার সুমনের জন্য এটা তো রাজনৈতিক দলের মিটিং আজ ই খমতায় বসে গেল বিএনপি
38,প্রবাসী সৈনিক,2022-10-12 09:49:27,পুলিশ সতর্ক অবস্থানে আছে নাকি উপর মহলের নির্দেশের অপেক্ষায় এইবার যদি পুলিশ আওয়ামীলীগ হয়ে যায় তাহলে পুলিশ নামের বাহিনী বাংলাদেশে থাকবেনা ইন শাহ আল্লাহ
39,Himel Hosain,2022-10-12 09:50:17,এদের বডিতে আত্তা আসলো কই থেকে আওয়ামী লীগ কই
40,Awal Sarkar,2022-10-12 09:52:04,বি এন পির ভাইদের প্রতি অনুরোধ থাকবে আপনারা কেউ খালি হাতে ময়দানে যাবেন না খালি হাতে কখনো সংগ্রাম হয় না
41,Alltop 88,2022-10-12 09:52:14,চালিয়ে যাও দেশকে বাচাও
42,MK H,2022-10-12 09:52:28,আওয়ামী ছাএলীগ পুলিশ লীগ আজকে কই ইদুরের মতো পালাইছে৷ খেলা শুরু আজকে থেকে
43,jahidul islam,2022-10-12 09:53:17,নিরাপত্তার কথা শুননে ইচ্চা মত হাসতে ইচ্চা করে
44,Salauddin Babu,2022-10-12 09:58:35,আমার মনে হর বাংলাদেশের টোটাল নেতা করমি
45,Md abdullah md.Abbulla,2022-10-12 09:59:52,কোথায় লাখো মানুষ ১০ হাজার মানুষ নাই
46,Abdul Latif,2022-10-12 10:00:44,
47,Taiger Bangla,2022-10-12 10:03:32,মানিষ কই খালি মাঠ এর থেকে বেশি মানুষ আমাদের গ্রামের বাজারে
48,bd24 live,2022-10-12 10:05:27,
49,jibon miah,2022-10-12 10:14:19,আওয়ামী লীগের নিচের একটা বালও ছিরতে পারবে না আওয়ামী লীগ খেলার জন্য রেডি শুধু অডারের অপেক্ষা তখন কি করে দেখবি কারণ আওয়ামী লীগ হলো মারামারি করার মাস্টার
50,Touhid Khan,2022-10-12 10:14:44,পিকচার আভি বাকি হে হে জালিম
51,Md Anis,2022-10-12 10:15:29,একটা গুরু বেস্ বাবার দিলে এর থেকে বেশি মানুষ হবে
52,khan Tutul,2022-10-12 10:23:18,মাএ কজ লোক আসছে
53,Md Rana,2022-10-12 10:30:19,আজকের সমাবেশ সফল হউক চট্টগ্রাম জেলা ছাএদল বাংলাদেশ জিন্দাবাদ
54,Shanjida Islam,2022-10-12 10:30:51,এটা বিএনপির কোনো সমাবেশ নয় এটা সাধারণ জন গনের জন সমাবেশ তবে যদি তত্ত্বাবেদক সরকারের অধিনে ভোট না হয় ও ইভিএম ব্যবহার করা বন্ধ না হয় তা হলে এ সমাবেশ কোনো কাজে আসবে না এটা সাধারণ জনগণের মাথায় রাখা উচিত
55,Mohammad Afran😍,2022-10-12 10:31:02,বিএনপি জনগণের সমর্থন নিয়ে ক্ষমতায় আসবে ইনশাআল্লাহ
56,Rony Gazi,2022-10-12 10:44:36,গমাসমাবেশ নাকি করছে
57,Mir Hossain,2022-10-12 10:45:09,
58,Enjoy Life,2022-10-12 10:57:58,আমি কলকাতা থেকে বলছি আমি বিএনপিকে সমর্থন করি
59,Mohammad Yesin,2022-10-12 11:05:38,এদের চাইতে ইসলামী আন্দোলন এর মানুষ বেশি হইছে তাদের খবর নাই তোরা সাংবাদিক না রাজাকার
60,Amjed ali Khan,2022-10-12 11:12:53,আজ একটা বিভাগীয় সমাবেশ লোক জন কোথায় আজ যদি আওমীলিগ বিভাগীয় সমাবেশের ডাক দেয় তাহলে মাঠে জায়গা দিতে প্রশাসন কে হিমশিম খেতে হবে বাংলার সাধারণ জনগন যানে আবারো যদি বিএনপি হ্মেমতায় আসে জঙ্গিদের আস্তানা ও হাওয়া ভবন তৈরি করবে বাংলার জনগন উন্নয়নের স্বার্থে আবারো আওমীলিগ কে ভোট দিবে
61,Md Kader,2022-10-12 11:14:20,বাংলাদেশ জাতীয়তাবাদী দল
62,Tashim Khan,2022-10-12 11:17:16,
63,Arifur Rahman,2022-10-12 11:26:34,লাখো মানুষ আমি দেহি না কে সাংবাদিক লাখো মানুষ গুলো কই আমাকে জলদি দেখান আমি দেখতে চাই
64,Dfgh Fghhj,2022-10-12 11:34:56,
65,Md Anwer,2022-10-12 11:38:51,দাবী একটা নিরপেক্ষ সরকার গঠন করে নিরপেক্ষ নির্বাচন চাই দিতে হবে স্বৈরাচার মুক্ত করতে হবে ইনশাআল্লাহ
66,Sohel Ahmed,2022-10-12 11:49:44,আওয়ামী লীগ বাংলাদেশের কিছু না বাংলাদেশ মানি জিয়াউর রহমানের দেশ বাংলাদেশ মানি জামাত শিবিরের দেশ বাংলাদেশ থেকে বিতাড়িত হবে আওয়ামী লীগ সরকার ইনশাআল্লাহ
67,Hasan Khan,2022-10-12 11:50:53,
68,N2AT suraiya islam,2022-10-12 11:55:51,জিয়ার সৈনিক
69,Md Ibrahim,2022-10-12 12:09:35,এই সময় টিভী তোরা কি জারজ সন্তান আমেলিগের সাপোর্ট করিছ দেশের মানুষকে ধংশ করিছ এই গুলো কি তোদের কাজ বেস্যা বিত্তির দল ও চেনেল
70,hasibul islam,2022-10-12 12:14:21,আমাদের মাননিয় প্রধান মন্ত্রী বলেন বাংলা দেশের সকল নাগরিক আওমীলীগ সমর্থন তাহলে এরা কারা আমার মনে হয় ১০০০০০০০০০০০০০০০০০ এরা রহিঙ্গা
71,Arafat Hossen,2022-10-12 12:15:35,সাবাস বিএনপি
72,Md Ibrahim,2022-10-12 12:15:55,তোদের কে কুত্তা দিয়ে তোদের গর্ভ ধারিনি জন্ম দিয়েছে দোলিও সাপোর্ট করিছ কেন দেশের অবস্হা ভালো না তার পরও সময় টেলিভিশনের খবরে বেস্যা আমিলিগের দালালি করে
73,Md Kadir,2022-10-12 12:19:33,এগিয়ে যাও বিএনপি
74,Taosif Tanha,2022-10-12 12:22:18,
75,Faruq Khan,2022-10-12 12:38:08,বর্তমান সরকার কে সরানো দরকার
76,Rupon Shill,2022-10-12 12:55:05,ভুয়া নিউজ এটা
77,Md Latif,2022-10-12 13:03:55,শুভ কামনা রইল বিএনপি
78,sujon khan,2022-10-12 13:12:21,
79,habibur Rahman,2022-10-12 13:30:36,এর চেয়ে গ্রামের ওয়াজ মাহফিলে মানুষ বেশি হয়
80,Alaoddin Ahmed,2022-10-12 13:46:41,
81,Saidul Islam,2022-10-12 13:51:59,এই দেশে কোনোদিন সফল ভোট হয়নি আর হবে ও না যারা ক্ষমতায় গিয়েছিল সবাই এই দেশটাকে লুটেপুটে খেয়েছে আওয়ামী লীগ আর বিএনপি সব একই তেল ডাল চুরি আর কেহ কম করে না
82,khan Khan,2022-10-12 14:02:42,রাইট ডিজেলের দাম কমাতেহলে মিছিল সমাবেশ লাগাতার করতেহবে
83,Itz Motivation,2022-10-12 14:20:50,আমাদের থেকে আওয়ামীলীগের ছাত্ররা কাওকে বিএনপি সমাবেশে যেতে দে নাই মারামারি করছে তারা আওয়ামীলীগ কি শুরু করলো
84,samir chowdhury,2022-10-12 14:55:43,
85,Md Iqbal,2022-10-12 15:03:57,কমল দে কোথায়
86,Ms Yasmin,2022-10-12 15:07:01,হে আল্লাহ তুমি আমাদের দলকে আরো শক্তি শালি করো
87,Marcos Romero,2022-10-12 15:53:11,ফাও লাফালাফি করলে লাভ কি বিএনপিকে মানুষ কি দেখে ভোট দিবে তাদের অর্জন কি আমরা যখন স্কুলে পড়তাম আমাদের বাসায় বিদ্যুতের লাইনই ছিলো না বাজারে ও স্কুলে বিদ্যুতের লাইন ছিলো তা দিনে ১৬ ঘন্টা থাকতো না হাটু সমান কাঁদার রাস্তা হেটে স্কুলে যাওয়া লাগতো বাসা থেকে থানায় যাওয়ার জন্য পাকা রাস্তা ছিলো না হাস্পাতালে সিট ছিলো না ব্রিজগুলো ছিলো নড়বড়ে ঈদের পর ঈদ গেছে মা বাপ ছেলে মেয়েদের নতুন জামা কিনে দিতে পারতো না পদ্মা সেতু করা যাবে না তারা সরাসরি বলেই দিছে ১৫ বছর আগের স্মৃতি ভুলে গেছে বাঙালী সে সময়ে কি পরিমান চুরি ডাকাতি হতো আমাদের বাপ চাচারা রাতের বেলা দল বেধে পাহাড়া দিতো বর্তমানে গ্যাস বিদ্যুৎ সমস্যা বিশ্বব্যাপী আমেরিকা ইউরোপ অস্ট্রেলিয়া জার্মানির মতো দেশ গ্যাস বিদ্যুৎ পাচ্ছে না সেখানে বাংলাদেশ তো বাছুর এক সাথে সকল মোয়া পাওয়া যায় না আগে মানুষের চাহিদা ছিলো ভাত ডালের মধ্যে এখন মানুষের চাহিদা বাড়ি গাড়ি বিলাশিতা এখন আপনি চাইলেই ৫০০ ১০০০ টাকা পেয়ে যান বাপ মায়ের কাছে আমরা স্কুলে যাওয়ার সময় ২ টাকা চাইলে বাপ মায়ের দেওয়ার সামর্থ্য ছিল না এখন বলবেন টাকার মান এখন কমে গেছে আরেহ ভাই টাকাইতো ছিলো না আপনার কাছে তখন
88,It's me,2022-10-12 17:22:39,
89,It's me,2022-10-12 17:22:48,
90,It's me,2022-10-12 17:22:55,
91,It's me,2022-10-12 17:24:17,
92,Sara Alamgir,2022-10-12 17:30:35,বড় জোর ১০ হাজার মানুষ হবে
93,Red Rose,2022-10-12 17:55:35,সময় টিভি আবার বিএনপির খবরও প্রচার করে
94,Eyamin Hossen Mollah,2022-10-12 21:02:04,টিভি চ্যানেল গুলোর শুভ বুদ্ধির উদয় হইতে যাচ্ছে টের পাওয়া পাওয়া ভাব ভালোই
95,Eyamin Hossen Mollah,2022-10-12 21:11:51,খুব কম সংখ্যক সরকার দলের কমেন্ট লক্ষ করা যাচ্ছ একটা প্রশ্ন সরকার দলের চামচা গুলো বাজারে আসেনা ওদের জন্য কি কেজিত ২০টাকা কম নেয়
96,জনতার মৈত্রী শক্তি,2022-10-12 23:34:20,আলহামদুলিল্লাহ
97,md sohel,2022-10-13 08:40:51,
