,texts
826,আমলে অর্ধেক মানুষকেও চাকরি বিএনপির নেতারা ভাষণ দেয়
827,হটাও মাফিয়া বাচাও দেশে
828,হ্যাঁ খালেদা জিয়া ছাত্রদল ক্যাডারদের চাকরি দিছেন পরীক্ষা ছাড়াই
829,বিএনপি ক্ষমতায় থাকলে এতদিনে খেয়ে মরতে হতো বাংলাদেশের মানুষের
830,দুইটা অর্জন আশা আসছে বিএনপির ডেট এক্সপায়ার্ড নেতারা
831,শীত আসতে পাগলের আমদানি আগমন বিএনপি জারজ অবৈধ সংগঠন গাঞ্জা খোর সংগঠন
832,বিএনপি ক্ষমতায় এলে দুর্নীতিতে চ্যাম্পিয়ন হবো
833,আন্দোলনের নামে সহিংসতা জবাব দেবে আ লীগ
834,বিএনপি আন্দোলনের নামে সহিংসতা আওয়ামী লীগ সমুচিত জবাব দেবে
835,শান্তিপূর্ণ গণতান্ত্রিক আন্দোলনকে স্বাগত যায় সহিংস আন্দোলনকে
836,আল্লাহর হুকুম জেদিকে পাশকোরবে
837,গত ১৪ বছর গণঅভ্যুত্থান আন্দোলনের মনগড়া ভয় দেখিয়ে আসছে বিএনপি
838,বর্তমানে বাংলাদেশের জনবিচ্ছিন্ন দল কর্তৃক তথাকথিত আন্দোলন অবরোধের নামে সহিংসতা ছড়ানো সমগ্র দেশবাসী বিশ্ব বিবেক তীব্র ধিক্কার জানিয়েছে
839,দেশ বিএনপি জামাতের সন্ত্রাসীদের অভয়ারণ্যে পরিণত হয়েছে
840,বিএনপি আন্দোলনের নামে আগুন সন্ত্রাস জনগণের সম্পদ ধ্বংসের রাজনীতিই
841,আন্দোলন নামক নাশকতার আগুন খেললে পরিণতি শুভ বিএনপির
842,বিএনপির হুংকার গাছে কাঁঠাল গোঁফে তেলের
843,বিএনপি অপশক্তি ঘাপটি মেরে বিশৃংখলা
844,শেখ হাসিনা সরকার দরকার জয় বাংলা
845,হটাও মাফিয়া বাঁচাও দেশ খালেদা জিয়ার বাংলাদেশ চট্টগ্রামে লাখো জনতার স্লোগান
846,সফল দোয়াও ভালো বাসা রইলো
847,আওয়ামী লীগ সরকার দরকার
848,ইনশাআল্লাহ আসবে খালেদা জিয়া
849,জানতাম ফখরুল মিয়া চট্টগ্রাম কসবা রেলওয়ে স্টেশন আটকাই দিতাম
850,জিয়ার সৈনিক এক হও লড়াই করো
851,তারেক রহমানকে ভার্চুয়ালি আলোচনা দরকার
852,মির্জা ফখরুল ইসলাম মাথা খারাপ
853,আজকে চট্টগ্রামে মহান সমাবেশ বিএনপির নেতা কর্মীকে গতবারের ক্ষমতায় আসে ১০ট্রাক অস্ত্র এনেছে এবারে ক্ষমতায় আসলে ২০ট্রাক আনবেন
854,জনপ্রিয়তা আওয়ামীলীগের মাথা নষ্ট হয়ে
855,চাঁদপুর জেলা বিএনপির সাবেক সফল সভাপতি হাজীগঞ্জ শাহরাস্তির গণমানুষের নেতা ধানের শীষের মনোনীত প্রার্থী অবিভাবক ইঞ্জিনিয়ার মমিনুল হক ভাইয়ের পক্ষ আজকের মহা সমাবেশে উপস্থিত সবাইকে শুভেচ্ছা অভিনন্দন
856,এগিয়ে জাও জিয়ার শৌনিক
857,চাই বাংলাদেশে এন সরকার ক্ষমতায় আসুক সৈরাচারী আওয়ামী লীগের শাসকের পরাজয় হউক বাংলাদেশে শান্তি আসবে
858,বাদা বিএনপি ঠেকানো বাংলাদেশ জনগণ জেগে উঠেছে
859,চট্টগ্রাম স্বাধীনতার ঘোষণা দিয়েছিলেন শহীদ প্রেসিডেন্ট জিয়াউর রহমান চট্টগ্রাম বিভাগীয় গন মহাসমাবেশ সরকারের পতন ইনশাআল্লাহ
860,আমাদেরকে শাহ আমানত সেতুর পুলিশ বাধা দিয়েছিল পুলিশ বাহিনী জানেনা চট্টগ্রামে ছেলে বাদ অপেক্ষা সমাবেশ স্থলে পোছেছি
861,যেই জণগন এসেছে আওয়ামী লীগের হাঁটা এটেক হয়ে কাকো ওবায়দুল কাদের হাসপাতালে ভর্তি হয়েছে
862,বাংলাদেশ জাতীয়তাবাদী দল জিন্দাবাদ
863,শ্রমিকে হত্যা গাড়ি জ্বালাও পোড়াও বাংলার জনগন ক্ষমতায় আসতে দিবে জয় বাংলা জয় বঙ্গবন্ধু জয়তু শেখ হাসিনা
864,বাংলাদেশ জিন্দাবাদ বাংলাদেশ জাতীয়তাবাদ দল বিএনপি জিন্দাবাদ
865,সমাবেশের নামে দেশের রাজনীতিতে মামলা হামলা ষড়যন্ত্র সন্ত্রাস নৈরাজ্যকে লালন বিএনপি এখনো
866,চট্টগ্রাম স্বাধীনতার ঘোষণা দিয়েছিলেন মহান স্বাধীনতার ঘোষক শহীদ রাষ্ট্রপতি জিয়াউর রহমান চট্টগ্রাম গনতন্ত্র পুনরুদ্ধারের সুচনা ইনশাআল্লাহ
867,ভোট চোর সরকার দরকার
868,আওয়ামী লুটপাট লীগ বয়কট করুন
869,রাষ্ট্র বিরোধী এন জামাত জংলী দল বাংলার মাটিতে ঠাই দিয়া ইনশাআল্লাহ
870,নিশি রাতের সরকার দেশ হটাও
871,ভালোবাসার আরেক নাম বাংলাদেশ জাতীয়তাবাদী দল এন
872,বাংলাদেশ বিএনপি দল নাইস
873,হঠাও হাসিনা বাঁচাও দেশ আসম আবদুর রবের নিদেশ
874,বাধা সৃষ্টি করতো ৬ লোকের সমাগম হইতো
875,চট্টগ্রাম ট্রেইলর দেখেছেন মাত্রপুরো সিনেমা দেখবেন ঢাকায় ইনশাআল্লাহ
876,জনস্রোত দিচ্ছে বিজয় নিকটে ইনশাআল্লাহ
877,বাদা আন্দোলন বন্ধ আরো জোরদার ইনশাআল্লাহ জনগণের পিঠ দেয়ালে ঠেকে রাজপথে ফায়সালা ইনশাআল্লাহ তত্ত্বাবধায়ক সরকারের অধীনে নির্বাচন বাধ্য সরকার
878,চট্টগ্রাম স্বাধীনতার ঘোষণা দিয়েছিলেন শহীদ প্রেসিডেন্ট জিয়াউর রহমান চট্টগ্রাম বিভাগীয় গন মহাসমাবেশ সরকারের পতন ইনশাআল্লাহ
879,চলছে আন্দোলন চলবে জিয়ার সৈনিক লড়বে দাবি মোদের একটাই অবৈধ স্বৈরাচার সরকারের পতন চাইজয়পুরহাট জেলা এন ছাএদল
880,জনগণ গনতন্ত্র পাবে ইনশাআল্লাহ
881,চলছে আন্দোলন চলবে জিয়ার সৈনিক লড়বে বীর মুক্তিযোদ্ধা শিক্ষা বন্ধু সাবেকএমপি গাজীপুর মহানগর বিএনপির সাবেক সভাপতি আলহাজ্ব হাসান উদ্দীন সরকার
882,গাজীপুর ০২ টংঈী জয়দেবপুর গণমানুষের প্রিয় নেতা বীরমুক্তিযোদ্ধা আলহাজ্ব হাসান উদ্দীন সরকার পক্ষ শত হামলার মধ্য দিয়ে গন মহাসমাবেশ সফল চট্টগ্রাম বিভাগের বিএনপির নেতাকর্মীদের আন্তরিক শুভেশ্ছা অভিনন্দন
883,নাঃগঞ্জের মাফিয়া সন্তান বলেছে ৪ ৫ লোকের সমাগম হয়েছে জারুয়া কোথাকার
884,সাগর মুন্সি লাফালাফি আবল তাবোল কখা বলো ভাই সুস্থ মাথায় ভাবলে হাসি লাগে সবাই সাধীন দেশেের নাগরিক
885,মিথ্যা বলার একটা সীমা তোমাদের বিএনপির জন্ম মিথ্যা
886,সকল বাধা উপেক্ষা গৌণ সমাবেশ সফল রাজশাহী মহানগর ছাত্রদলের পক্ষ শুভেচ্ছা অভিনন্দন
887,বিএনপি সমাবেশ লীগের মাথা নষ্ট খালি ঘেউ ঘেউ
888,চট্টগ্রামে মাছি মশা গতকাল চট্টগ্রামের রাজপথে নিশি রাতের ভোট চোরের একটা পাতি নেতা রাজপথে
889,বিএন ছাএদল খেলা
890,নারায়ে তাকবীর ১ম শব্দটি নারায়ে উর্দূ অর্থ ধ্বনী উচ্চ আওয়াজ দ্বিতীয় শব্দটি তাকবীর আরবি অর্থ আল্লাহর বড়ত্ব শ্রেষ্ঠত্ব নারায়ে তাকবীর অর্থ তোমরা উচ্চ আওয়াজে আল্লাহর বড়ত্বের ঘোষণা দাও আল্লাহু আকবার আল্লাহ সর্বশক্তিমান
891,কই গুন্ডা লীগদের ত দেখি
892,পশাসনের লোক রাখছে আওয়ামী লীগ মাঠে
893,নারায়ে তাকবির আল্লাহু আকবর
894,গর্ভবতী মায়ের বাচ্চা প্রসবের ব্যাথা আসে বুঝা দেরি মেহমানের আগমন ঘটবে সত্য বর্তমানে বাংলাদেশের রাজনীতির মাঠে জালেম সরকার বিরোধী দলের যেভাবে অত্যাচার নির্যাতন নিপিরণ জেল জুলুম একেবারে শেষের পৃথিবীর জমিনে স্বৈরাচার টিকতে পারবেও ইনশাআল্লাহ
895,চট্টগ্রাম যেম তোদের বাপ দাদার
896,বিএনপির জনগণ আওয়ামী লীগের মাথা নষ্ট
897,এসো সবাই যোগদান বিএনপির গণ মিছিল ইনশাল্লাহ বাংলাদেশ আসবে
898,লুডু অডিয়া পাটিয়া খাওয়াবো আল্লাহর ডাক শেখ হাসিনা আল্লাহর ডাক ইয়া নাফসি ইয়া নাফসি তাআলা ক্ষমা করব জানিনা
899,ইনশাআল্লাহ বিজয় বিএনপি রাজপথের দিয়ে
900,এনপি মানে দেশের ৮০ মানুষ এইটা রাখবে খালেদা তারেক রহমানের কথা মনু
901,বদ্দা তুয়ারে নো দেহিলাম
902,আওয়ামীলীগ ছারদিবি বিএনপি আওয়ামীলীগ ছার দিবেনা
903,১২ তারিখে কই আছিলো কুত্তালীগ
904,ক্ষমতাশীলরা গণমানুষের আন্দোলন ঠেকাতে মরিয়া উঠেছে আওয়ামী লীগের লোকজন ফালতু কথা এগুলো এরাতো একদম ফালতু একথা প্রমাণিত সমাবেশে শত বাধা দিয়েও ব্যর্থ সমাবেশ সফল শাসনের নামে শোষণ পারবেনা সময়ের অপেক্ষায় এক দফা এক দাবী হাসিনা তুই যাবি
905,লীগ ক্ষমতায় থ্যাংকু ভেঙ্গে ফেলে দেবো
906,চট্টগ্রাম তোদের বাপের আন্দোলন প্রোত্যক দলের অধিকার জনজীবনে ক্ষতি
907,প্রশাসন আম্বামিলিগ দুধের শিশু
908,আলহামদুলিল্লাহ্ দেশ ভালো
909,লাঠি লাঠি লাঠি ছাই
910,আওয়ামীলীগ নেতা কর্মীরা বিএনপির তে যোগদেয়া ছে
911,সফল স্বৈরাচার নিপাত যাক গণতন্ত্র মুক্তি পাক
912,মানুষ দাত ভাঙ্গা জবাব দেওয়ার
913,কুওা পালানের জায়গা পাবি
914,বিএনপির সফল ইনশাআল্লাহ সুষ্ঠু নির্বাচন বিএনপি আসবে
915,ভোট চোরদের নেতা
916,দামরালীগের শেশ খালেদাজিয়ার বাংলাদেশ
917,চট্টগ্রাম যেভাবে জিয়াউর রহমানের ঘোষণায় দেশ স্বাধীন হয়েছিলো ইনশাল্লাহ আশা এবারো চট্টগ্রাম মাফিয়া সরকারের পতনের ডাক আসবে
918,খেলা থেমে থাকার খেলা জয় হবেই
919,বিএনপির মিটিংয়ে সরকারের গায়ে জালা বেরে উটে
920,বিএনপি এগিয়ে চলো আছি পাশে
921,ভোট চোরদের পতন চাই
922,কাম নানে যেতেই
923,বিএনপি খেলে খেলা এগুলো
924,আজম নাসির২৮টা খুনের মামলার আসামি হয়েও কেমনে মেয়র বুঝিনা
925,ঘর সামলাতে বিএনপির কথা সাবেক ছাএলীগ নেতা ফাকার আলী
926,সবাই এক থাকূন ৷ ধন্যবাদ
927,বিএনপির জনসভা সফল হউক খেলা রাজপথে
928,ইনশাআল্লাহ্ খেলা মাঠে এবারের
929,এবারের চট্টগ্রাম বাসী সবাই সাথে
930,তোর মায়েরে চ রে
931,আঘাত আসবে সেখানেই প্রতিঘাত করবা রাখবা প্রতিটা আওয়ামী দুঃশাসন মুক্ত ছাড়ব ইনশাআল্লাহ
932,বিএনপি কর্মীরাও চাই আওয়ামীলীগ রাজপথে আসো পুলিশবাহিনী আওয়ামী লীগ আসুক রাজপথে দেখি দম বিয়ের প্রস্তুত আছি
933,আউমিলীগের বিখারী
934,গণতন্ত্রের ভাষায় কথা বলতেছেন বাকশালের ভাষায় কথা বলতেছেন জানাবেন
935,আমারা আছি আপনাদে সাথে রৌমারি
936,এন পাস ইনশাআল্লাহ
937,আওয়ামীলীগর গজব পড়বে ইনশাআল্লাহ তোমরা জালেম সত্যরে মিথ্যা মিথ্যা রে সত্যো বানাও আল্লাহ পাক মহান দেশের চোরের আল্লার গজব পড়বে
938,জিয়ার সৈনিক এক হও এক হও
939,হাসাও মাহমুদ চট্রগ্রামের কলংক
940,একটা জেলার ঢল শয্য ক্ষমতা আওয়ামী
941,তোমাদের সাথে সরকারের পতন নিশ্চিত
942,চট্টগ্রাম স্বাধীনতার ঘোষণা দিয়েছিলেন শহীদ প্রেসিডেন্ট জিয়াউর রহমান চট্টগ্রাম বিভাগীয় গন মহাসমাবেশ সরকারের পতন ইনশাআল্লাহ
943,দিয়ে বিএনপিকে ধমিয়ে যাবেনা অত্যাচারের সিমা ছাড়িয়ে
944,হিজাব পড়ে সংবাদ পাঠ ভালো লাগলো শুভ কামনা রইলো সংবাদ পাঠিকার
945,আওয়ামীলিগ বিএনপি দেশটারে পাইছে দেশটা বাপ দাদার বিটা
946,মাথায় কাপড় দিয়ে সংবাদ পড়ার আপনাকে অসংখ্য ধন্যবাদ
947,চট্টগ্রাম স্বাধীনতার ঘোষণা দিয়েছিলেন শহীদ প্রেসিডেন্ট জিয়াউর রহমান চট্টগ্রাম বিভাগীয় গন মহাসমাবেশ সরকারের পতন ইনশাআল্লাহ
948,ভিডিওটা পারলে শামিম ওসমানকে দেখান
949,হিজাব সংবাদ পাঠ করতেছে আপনাকে সালাম জানাই আপু তোমাকে
950,হিজাব পড়ায় আপাকে খুবই সুন্দর লাগছে আপার দোয়া শুভকামনা
951,আওয়ামী লীগের নেতারা বলতেছে ৫ ১০ লোক সমাগম হয়েছে সমাবেশ হয়েছে আপনারা বলতেছেন জনসমুদ্র হয়েছে
952,হাছান মাহমুদ সামিম কাদের অন্ধ
953,এক সমাবেশেই আওয়ামী লীগের বুকে কম্পন ইনশাআল্লাহ আরো ভালো কিছুর অপেক্ষায় জয় আমাদেরই
954,হিজাব পড়ে সংবাদ পাঠ ভালো লাগলো শুভ কামনা রইলো সংবাদ পাঠিকার
955,একটু জোরে বলবেন আপু আওয়ামী জনগণকেই পাই নি
956,বান টোনা কুফরি বিয়ে বন্দ নিসন্তানমনের মানুষ অবাধ্য পারিবারিক সম্সাআরো সম্সার সমাধান তান্ত্রিক সরৎ আকবর
957,বাংলাদেশর মহিলা মাথায় হিজাব পড়ে সংবাদ পাঠ করতেচে
958,বছর সংবাদ পাঠিকা হিজাব পড়ে খবর পড়তে দেখলাম ধন্যবাদ আপু সাথে বাংলাভিশন কেও ধন্যবাদ
959,বাধা আসবে লড়াই
960,দাবি একটাই ভোট চোর সরকারের পতন চাই
961,গণতন্ত্রের রুপকার প্রেসিডেন্ট জিয়াউর রহমানের স্মরণে ক্ষুদ্রতম উপহার নিবেদিতো লেখা কবিতাদলমত নির্বিশেষে সকলে পড়ুন স বিতা শিরোনামঃ শহীদ জিয়া রচনায়ঃ সৈয়দ ইসমাইল হোসেন জনিদেশ দরদী নেতা ছিলেনজিয়াউর রহমান গণতন্ত্রের মানসপুত্রগাই গুণগান বহুদলীয় গণতন্ত্রের জনক হলেন মহান নীতির কাছেসকল বাঙালি ঋণী স্বাধীনতার ঘোষণা দিয়েমুক্তিযুদ্ধ সীমাহীন পরিশ্রম করেএই দেশ গড়েছেন বীর উত্তম শহীদ জিয়ানিজে খাল কেটেছেন দেশের উন্নয়নের জন্যআজীবন খেটেছেন শহীদ জিয়ার অবদানকখনো হবেনা ম্লান বিপথগামী সৈনিককেড়ে নিছে প্রাণ আদর্শ নেতারজগতে তুলনা বাংলার জনগণ তাকেহৃদয়ে দিছেন ঠাঁই গড়েছিলেন দলতার নাম এন আদর্শ দলকেদেশবাসী ভোলেন নি ধানের শীষ প্রতীক নিয়েস্ব গৌরবে টিকে আবালবৃদ্ধবনিতা মিলেমনে রাখছে স্মৃতিকে ভালোবাসোদাও প্রতিদান খালেদাজিয়ার পাশে আসোভুলে অভিমান স্বাধীনতার ঘোষক জিয়ানাই তুলনা সবুজ দেশ গড়তে হলেতার আদর্শ ভুলনা জনি প্রতিক্ষণে বেঁচে স্বপ্ন নিয়া প্রতিটি জনগণের মনেজাগ্রত শহীদ জিয়া রচনাকাল ২০ ১১ ২০১১ ইং০১৭১৮১৬৩৫৫১ ইমু একসাথে
962,হাজারো নাস্তিক মহিলা আপনাকে হেদায়েতের পথে আসবে যেগুলা পোশাক আন্দোলন আপনাকে শিখতে পারবে পেশাকে আল্লাহতালা কবুল নিন নাক হায়াত দান করুন
963,রিপোর্টার বলতাছে মানুষের গন জোয়ার হয়েছে সামিম উসমানইন্নায় বলতাছে মাএ ১৫ লোক হইবো কার কথা বিস্বাস করুম আম জনতা
964,সরকার জনগণের জনগণের থাকার কথা
965,লিল্লাহি তাকবীর আল্লাহু আকবার মুসলমানের স্লোগান মুনাফিকরা ভয় পাবেই
966,আপুকে ধন্যবাদ হিজাব পারার কারণে
967,হিজাব পড়ে সংবাদ পাঠ আপনাকে ধন্যবাদ আপা দোয়া শুভকামনা রইলো
968,আপনাকে ধন্যবাদ হিজাব পরাজন ছাই সবাই হিজাব সংবাদ বলোক সালাম আদর্শ
969,চোর আওমিলীগ ইতিহাসে ত্রমন চোরি ত্রখন পেয়ে মানুষের খাবার চোরি যায় দেখবো ত্রই খেলা সময় ত্রসে পরেছে ত্রন দেখাবে চোর বন্ধি ত্রবং সারাজীবন অন্ধকারে পেলে ইনশাআল্লাহ
970,৪ মাইকিং ছাড়া বাকি সবাই এসেছে
971,সবাই মত সংবাদ উপস্থাপন করতো সবাইকে এরকম ভালো লাগতো
972,বলছেন জনসমুদ্র অন্যরাও কথা বলছে নির্লজ্জ হাসাও মাহমুদ বলছেন ফ্লপ সমাবেশ
973,চট্টগ্রাম স্বাধীনতার ঘোষণা দিয়েছিলেন শহীদ প্রেসিডেন্ট জিয়াউর রহমান চট্টগ্রাম বিভাগীয় গন মহাসমাবেশ সরকারের পতন ইনশাআল্লাহ
974,বাংলাভিশনের সংবাদ কর্মি আপুকে সেলুট জানাই কারন পর্দা সহকারে উপাস্তাপনা
975,মা জিয়া মুওি চাই
976,বাংলাভিশন ধন্যবাদ জানাই নারী সংবাদ পাঠিকাকে হেজাব পোরে সংবাদ পাঠ দেওয়ায়
977,হিজাব পড়ে সংবাদ পাঠকরে মন জয় বাংলার সকল মুসলিম মোমেন মুসলিমের মন ভালো লাগলো শুভ কামনা রইলো সংবাদ পাঠিকার
978,আহ হিজাব নারীকে কতটা সুন্দর জলন্ত প্রমান সালাম রইলো ভোন
979,খালেদা জিয়া এগিয়ে যাও
980,সংবাদ পাঠ আছেন হাজারো সালাম আপাহিজাব সংবাদ পাঠ আপনাকে হাজারো সালাম জানাই
981,আওয়ামী লীগ সরকারের শেষ সংসদের পেঁয়াজের তেল দ্বন্দ্ব
982,আল্লা বিছার দিব তোমাকে করুন এদেশের জালিম সরকারের বিছার
983,ইনশাআল্লাহ বিজয় অর্জন আপনাদের
984,চোরদের নিউজ বিবিসি কখনো
985,লাল সবুজের পতাকাই জিয়ার তোমায় দেহা জাই
986,হটবে সন্ত্রাস বাচবে দেশ গনতন্ত্র মুক্ত ইনশাআল্লাহ জাতীয়তাবাদী দল বিএনপি জিন্দাবাদ
987,নারী নেত্রীত্র হাটাও এদেশ
988,বুজলাম আওয়ামী লীগের ভিডিওতে হা হা বিএনপি ভিডিওতে লাব বুজলাম
989,বিম্পি ক্ষমতায় আসলে ৬ মাসে দেশকে ধ্বংস ফেলবে
990,চট্টগ্রাম স্বাধীনতার ঘোষণা দিয়েছিলেন শহীদ প্রেসিডেন্ট জিয়াউর রহমান চট্টগ্রাম বিভাগীয় গন মহাসমাবেশ সরকারের পতন ইনশাআল্লাহ
991,চরমোনাই শায়েখদের ব্যাংকের হিসাব তলব মানে সরকার দলীয় দুর্নীতিগ্রস্ত ব্যক্তিদের আড়াল চাচ্ছে যেটা সরকার প্রধান দুর্নীতির সাথে জড়িত
992,ঘরে যাবি কেমনে তোর বউ তোরে খাটে ঘুমাইতে নেয় এহন রাস্তা নামছো
993,কুকুরের চিল্লাচিল্লি লাভ বেকার সালে ছিরি দৌড় দিবেন খুজি পাওয়া
994,জিয়ার সৈনিক ভীরু রক্ত জয়
995,অবৈধ শৈরাচারের পতন
996,লিল্লাহ তাকবির আল্লাহু আকবার
997,ভাই আওয়ামী লীগে একটা জিনিস বুঝতে পারছি এতো মার খায় প্রান দিয়ে দেয় বিএনপি বুঝতে পারছি
998,তৃণমূল সরকার পতন চায় কেন্দ্রীয় নেতারা চায় আওয়ামী লীগ ক্ষমতায় থাকুক
999,বলেছে জিয়া জিয়া বাংলায়
1000,হঠাও মাফিয়া বাঁচাও দেশ টেইকব্যাক বাংলাদেশ
1001,আওয়ামী লিগ জাতির শত্রু সমাজের শত্রু ইসলামের শত্রু ভোট চোর দুর্নীতি বাজ অবৈধ সরকার
1002,ভোট চুরুনীর গালে জুতা মার তালে তালে
