headline,link,description,time
গাংনী উপজেলা যুবদলের সদস্য সচিব গ্রেফতার,https://banglanews24.com/national/news/bd/1005787.details,"মেহেরপুর: নাশকতা মামলায় গাংনী উপজেলা যুবদলের সদস্য সচিব জাহিদ আহম্মেদকে (৪২) গ্রেফতার করেছে পুলিশ। 
বুধবার (৭ ডিসেম্বর) দুপুরের","২১২৯ ঘণ্টা, ডিসেম্বর ৭, ২০২২"
৬ ডিসেম্বর হানাদার মুক্ত হয় মেহেরপুর,https://banglanews24.com/national/news/bd/1004362.details,"মেহেরপুর: আজ ৬ ডিসেম্বর। স্বাধীনতার সূতিকাগার মেহেরপুর মুক্ত দিবস। মূলত, ১৯৭১ সালের ১ ডিসেম্বর সকাল থেকেই মেহেরপুর হানাদারবাহিনীর","১১০২ ঘণ্টা, ডিসেম্বর ৬, ২০২২"
নাশকতা মামলায় বিএনপি নেতা গ্রেফতার,https://banglanews24.com/national/news/bd/1002715.details,মেহেরপুর : গাংনী উপজেলা বিএনপির সহ সাংগাঠনিক সম্পাদক ও তেঁতুলবাড়িয়া ইউনিয়ন পরিষদের সাবেক চেয়ারম্যান জাহাঙ্গীর আলমকে,"২১৩৯ ঘণ্টা, ডিসেম্বর ৩, ২০২২"
মেহেরপুর সীমান্তে ৮ কেজি গাঁজাসহ কারবারি আটক,https://banglanews24.com/national/news/bd/1002346.details,মেহেরপুর: মেহেরপুরের গাংনীতে বর্ডারগার্ড বাংলাদেশ (বিজিবি)-এর অভিযানে ৮ কেজি গাঁজা ও দেশীয় অস্ত্র হাসুয়াসহ মো. সাইদার আল সোনা (৬৫),"১৫২০ ঘণ্টা, ডিসেম্বর ৩, ২০২২"
সড়ক হলো উন্নয়নের প্রতীক: জনপ্রশাসন প্রতিমন্ত্রী,https://banglanews24.com/national/news/bd/1001752.details,"মেহেরপুর: জনপ্রশাসন প্রতিমন্ত্রী ফরহাদ হোসেন বলেছেন, সড়ক হলো উন্নয়নের প্রতীক। যে এলাকার যত সড়ক হবে, যোগাযোগ যত উন্নত হবে, সেই এলাকা","১৬০৯ ঘণ্টা, ডিসেম্বর ২, ২০২২"
আলোচিত প্রিয়া খানের একদিনের রিমান্ড মঞ্জুর,https://banglanews24.com/law-court/news/bd/1000759.details,মেহেরপুর: শারীরিক সম্পর্ক গড়ে তা ভিডিও করে ব্লাকমেইলের মাধ্যমে অর্থ হাতিয়ে নেওয়ার মূল হোতা নাজনীন খান প্রিয়ার একদিনের রিমান্ড,"১১৪৪ ঘণ্টা, ডিসেম্বর ১, ২০২২"
মেহেরপুরে গাঁজাসহ ২ যুবক গ্রেফতার,https://banglanews24.com/national/news/bd/1000285.details,"মেহেরপুর: মেহেরপুরে গাঁজাসহ দুই যুবককে গ্রেফতার করেছে জেলা গোয়েন্দা (ডিবি) পুলিশ।
গোপন তথ্যের ভিত্তিতে বুধবার (৩০ নভেম্বর)","১৮০৯ ঘণ্টা, নভেম্বর ৩০, ২০২২"
"পাসপোর্ট ছাড়াই বাংলাদেশে প্রবেশ, যুবক আটক",https://banglanews24.com/national/news/bd/1000258.details,মেহেরপুর: অবৈধভাবে ভারত থেকে বাংলাদেশে প্রবেশের সময় সানোয়ার হোসেন (৩২) নামের এক বাংলাদেশিকে আটক করেছে বর্ডারগার্ড বাংলাদেশ,"১৭৪৭ ঘণ্টা, নভেম্বর ৩০, ২০২২"
মেহেরপুরে ফেনসিডিল ব্যবসায়ীর ৬ বছর কারাদণ্ড,https://banglanews24.com/law-court/news/bd/1000063.details,মেহেরপুর: মেহেরপুরে মাদক মামলায় শামীম মল্লিক (৪০) নামে এক ফেনসিডিল ব্যবসায়ীকে ৬ বছর সশ্রম কারাদণ্ড দিয়েছেন আদালত। একই সঙ্গে তাকে,"১৪৫০ ঘণ্টা, নভেম্বর ৩০, ২০২২"
"প্রেমের ফাঁদে ফেলে অর্থ আদায়, বাবা-ছেলেসহ নারী আটক",https://banglanews24.com/national/news/bd/1000054.details,মেহেরপুর: প্রেমের ফাঁদে ফেলে শারীরিক সম্পর্ক স্থাপন ও ব্লাকমেইলে অর্থ আদায়ের মূল হোতা মেহেরপুর শহরের আভিজাত শ্রেণীর হোটেল,"১৪৪৬ ঘণ্টা, নভেম্বর ৩০, ২০২২"
